Long,Lat,Op,FlightsCount,PosDateTime,Id,Icao,Source,Target
1.83495,51.761669,China Southern Airlines,0.0,2020-01-01 17:45:37.517,7866120.0,780708,ZHHH,EGLL
1.81519,51.760360999999996,China Southern Airlines,0.0,2020-01-01 17:45:42.535,7866120.0,780708,ZHHH,EGLL
9.998641000000001,54.637848999999996,China Southern Airlines,0.0,2020-01-01 17:00:20.025,7866120.0,780708,ZHHH,EGLL
9.97397,54.629059,China Southern Airlines,0.0,2020-01-01 17:00:28.002,7866120.0,780708,ZHHH,EGLL
113.93086000000001,26.667959999999997,Malindo Air,8.0,2020-01-01 17:00:04.277,7668741.0,750405,ZHHH,WMKP
113.93086000000001,26.667959999999997,Malindo Air,0.0,2020-01-01 17:00:10.782,7668741.0,750405,ZHHH,WMKP
9.966619999999999,54.62645,China Southern Airlines,0.0,2020-01-01 17:00:31.480,7866120.0,780708,ZHHH,EGLL
32.746437,42.178940000000004,China Southern Airlines,0.0,2020-01-01 17:00:33.590,7866122.0,78070A,ZHHH,LTFM
9.957192,54.623093000000004,China Southern Airlines,0.0,2020-01-01 17:00:33.641,7866120.0,780708,ZHHH,EGLL
9.944727,54.61866800000001,China Southern Airlines,0.0,2020-01-01 17:00:37.626,7866120.0,780708,ZHHH,EGLL
116.770121,25.626801,China Southern Airlines,0.0,2020-01-01 07:45:17.388,7866856.0,7809E8,ZHHH,ZSPD
117.027631,31.637179999999997,Spring Airlines Japan,0.0,2020-01-01 07:45:22.657,8653999.0,840CAF,ZHHH,RJAA
111.16179,26.406190000000002,Sichuan Airlines,8.0,2020-01-01 07:45:03.606,7867627.0,780CEB,ZHHH,ZYHB
116.77011999999999,25.6268,China Southern Airlines,13.0,2020-01-01 07:45:22.943,7866856.0,7809E8,ZHHH,ZSPD
119.075584,31.597458000000003,Sichuan Airlines,8.0,2020-01-01 07:45:19.937,7865204.0,780374,ZHHH,ZSPD
126.19353999999998,45.32863,China Southern Airlines,10.0,2020-01-01 07:45:03.605,7867910.0,780E06,ZHHH,ZGGG
113.27803,23.35675,Air China,0.0,2020-01-01 07:45:02.230,7869832.0,781588,ZHHH,ZGGG
111.16179,26.406190000000002,Sichuan Airlines,0.0,2020-01-01 07:45:02.228,7867627.0,780CEB,ZHHH,ZYHB
126.19353999999998,45.32863,China Southern Airlines,0.0,2020-01-01 07:45:02.228,7867910.0,780E06,ZHHH,ZGGG
119.075584,31.597458000000003,Sichuan Airlines,0.0,2020-01-01 07:45:18.195,7865204.0,780374,ZHHH,ZSPD
116.77011999999999,25.6268,China Southern Airlines,0.0,2020-01-01 07:45:20.196,7866856.0,7809E8,ZHHH,ZSPD
112.71213,37.47057,China Southern Airlines,0.0,2020-01-01 07:45:02.228,7866120.0,780708,ZHHH,EGLL
128.97935,44.29217,China Southern Airlines,0.0,2020-01-01 07:45:03.178,7866467.0,780863,ZHHH,ZSPD
123.68628000000001,40.43765,China Southern Airlines,15.0,2020-01-01 06:59:33.222,7866467.0,780863,ZHHH,ZSPD
114.69205,32.04465,China Southern Airlines,8.0,2020-01-01 07:00:04.852,7866120.0,780708,ZHHH,EGLL
113.92392,26.56847,Air China,7.0,2020-01-01 07:00:04.852,7869832.0,781588,ZHHH,ZGGG
113.91439,26.63617,Air China,0.0,2020-01-01 06:59:32.633,7869832.0,781588,ZHHH,ZGGG
113.184151,22.999283,Air China,0.0,2020-01-01 07:00:24.009,7867548.0,780C9C,ZHHH,VMMC
114.78946,31.54134,China Eastern Airlines,4.0,2020-01-01 14:43:33.403,7865325.0,7803ED,ZHHH,ZBAA
120.4502,31.550314,Shanghai Airlines,16.0,2020-01-01 14:44:27.532,7866753.0,780981,ZHHH,ZSPD
114.78946,31.54134,China Eastern Airlines,0.0,2020-01-01 14:43:38.560,7865325.0,7803ED,ZHHH,ZBAA
50.226746,61.817917,China Southern Airlines,0.0,2020-01-01 14:01:27.257,7866120.0,780708,ZHHH,EGLL
114.68353,35.69407,China Southern Airlines,8.0,2020-01-01 04:00:36.864,7868358.0,780FC6,ZHHH,ZYCC
138.70486499999998,34.041641,All Nippon Airways,0.0,2020-01-01 04:01:27.253,8697816.0,84B7D8,ZHHH,RJAA
114.44366000000001,30.90642,China Eastern Airlines,7.0,2020-01-01 05:59:02.666,7867564.0,780CAC,ZHHH,ZSSS
113.63143000000001,29.363429999999997,Air China,0.0,2020-01-01 05:59:02.665,7867548.0,780C9C,ZHHH,VMMC
120.7873,31.397781,Korean Air,0.0,2020-01-01 05:59:22.745,7454084.0,71BD84,ZHHH,RKSI
113.63143000000001,29.363429999999997,Air China,0.0,2020-01-01 05:59:02.912,7867548.0,780C9C,ZHHH,VMMC
114.44366000000001,30.90642,China Eastern Airlines,0.0,2020-01-01 05:59:02.913,7867564.0,780CAC,ZHHH,ZSSS
21.837010999999997,58.070847,China Southern Airlines,0.0,2020-01-01 15:59:21.067,7866120.0,780708,ZHHH,EGLL
21.899231,58.085508,China Southern Airlines,0.0,2020-01-01 15:59:02.978,7866120.0,780708,ZHHH,EGLL
110.89391,30.56643,Air China,0.0,2020-01-01 15:59:12.454,7868342.0,780FB6,ZHHH,ZUUU
21.800686,58.062286,China Southern Airlines,0.0,2020-01-01 15:59:31.458,7866120.0,780708,ZHHH,EGLL
21.785711,58.058716000000004,China Southern Airlines,0.0,2020-01-01 15:59:37.395,7866120.0,780708,ZHHH,EGLL
130.728699,51.819901,China Southern Airlines,0.0,2020-01-01 15:59:37.396,7869599.0,78149F,ZHHH,KJFK
112.824046,22.023398,Tianjin Airlines,0.0,2020-01-01 12:31:23.856,7868927.0,7811FF,ZHHH,ZJHK
115.44259,28.28197,Shanghai Airlines,6.0,2020-01-01 12:31:06.284,7869300.0,781374,ZHHH,ZSPD
114.98326000000002,36.77641,China Southern Airlines,9.0,2020-01-01 12:31:05.276,7865836.0,7805EC,ZHHH,ZBAA
113.90899999999999,26.29056,China Eastern Airlines,7.0,2020-01-01 12:31:03.011,7867564.0,780CAC,ZHHH,ZJHK
115.44259,28.28197,Shanghai Airlines,0.0,2020-01-01 12:31:03.046,7869300.0,781374,ZHHH,ZSPD
112.82225,22.022736,Tianjin Airlines,0.0,2020-01-01 12:31:26.606,7868927.0,7811FF,ZHHH,ZJHK
111.24666,34.440220000000004,China Southern Airlines,7.0,2020-01-01 02:31:03.826,7867820.0,780DAC,ZHHH,ZSPD
113.38378,33.1802,Air China,3.0,2020-01-01 02:31:02.775,8106103.0,7BB077,ZHHH,ZBAA
117.59986,27.98688,China Southern Airlines,15.0,2020-01-01 02:31:02.825,7866467.0,780863,ZHHH,ZSPD
114.0004,30.65148,Air China,0.0,2020-01-01 02:31:03.825,7867548.0,780C9C,ZHHH,ZBAA
113.38378,33.1802,Air China,0.0,2020-01-01 02:31:02.685,8106103.0,7BB077,ZHHH,ZBAA
104.619919,3.579849,Scoot,0.0,2020-01-01 21:02:07.670,7781702.0,76BD46,ZHHH,WSSS
126.96516000000001,36.037308,Korean Air,0.0,2020-01-01 06:58:20.723,7454084.0,71BD84,ZHHH,RKSI
114.72899,31.81673,China Southern Airlines,8.0,2020-01-01 06:58:04.221,7866120.0,780708,ZHHH,EGLL
113.89072,26.80394,Air China,7.0,2020-01-01 06:58:04.227,7869832.0,781588,ZHHH,ZGGG
114.72899,31.81673,China Southern Airlines,0.0,2020-01-01 06:58:03.193,7866120.0,780708,ZHHH,EGLL
